lambda_angstroms A            Z   ion_stage lower_energy_Ev   lower_statweight  forbidden  lower_level               upper_level               upper_statweight  upper_energy_Ev   upper_has_permitted
           418.8 5.012100E+07   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(3Pe)5d_2Fe[5/2]                6.00           32.9279                   1
           418.7 7.232900E+05   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(3Pe)5g_2Fe                    14.00           32.9348                   1
           418.3 5.928500E+07   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(3Pe)5d_2De[5/2]                6.00           32.9618                   1
           418.3 2.208200E+07   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(3Pe)5d_2De[3/2]                4.00           32.9618                   1
           415.8 4.995800E+07   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(3Pe)6s_2Pe[3/2]                4.00           33.1408                   1
           409.9 9.083100E+07   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(3Pe)6d_2Pe                     6.00           33.5712                   1
           409.8 2.082700E+08   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(3Pe)6d_2Fe                    14.00           33.5774                   1
           409.5 1.882600E+05   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(3Pe)6g_2Fe                    14.00           33.6028                   1
           409.5 8.548400E+07   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(3Pe)6d_2De                    10.00           33.6035                   1
           408.1 2.039900E+07   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(3Pe)7s_2Pe                     6.00           33.7041                   1
           404.5 2.868500E+06   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(3Pe)7d_2Fe                    14.00           33.9773                   1
           404.4 7.467000E+07   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(3Pe)7d_2Pe                     6.00           33.9840                   1
           404.1 9.703600E+07   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(3Pe)7d_2De                    10.00           34.0040                   1
           404.1 2.699600E+04   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(3Pe)7g_2Fe                    14.00           34.0056                   1
           403.3 1.160500E+08   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(1De)4d_2Fe[5/2]                6.00           34.0635                   1
           403.3 1.697700E+09   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(1De)4d_2Fe[7/2]                8.00           34.0686                   1
           403.3 1.183500E+07   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(3Pe)8s_2Pe                     6.00           34.0702                   1
           403.1 1.204500E+08   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(1De)4d_2De[3/2]                4.00           34.0852                   1
           403.0 1.124400E+09   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(1De)4d_2De[5/2]                6.00           34.0867                   1
           401.9 3.250200E+08   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(1De)4d_2Pe                     6.00           34.1743                   1
           401.3 2.010500E+07   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(1Se)3d_2De[3/2]                4.00           34.2176                   1
           401.2 1.878500E+08   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(1Se)3d_2De[5/2]                6.00           34.2290                   1
           400.8 6.650600E+06   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(3Pe)8d_2Pe                     6.00           34.2560                   1
           400.8 1.236800E+07   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(3Pe)8d_2De                    10.00           34.2570                   1
           400.8 1.877200E+08   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(3Pe)8d_2Fe                    14.00           34.2608                   1
           400.7 3.667300E+05   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(3Pe)8g_2Fe                    14.00           34.2671                   1
           400.1 1.086100E+07   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(3Pe)9s_2Pe                     6.00           34.3108                   1
           398.5 1.642600E+07   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(3Pe)9d_2Pe                     6.00           34.4372                   1
           398.4 1.039200E+08   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(3Pe)9d_2Fe                    14.00           34.4407                   1
           398.4 9.355900E+04   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(3Pe)9g_2Fe                    14.00           34.4464                   1
           398.4 2.449300E+07   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(3Pe)9d_2De                    10.00           34.4481                   1
           398.0 7.291400E+06   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(3Pe)10s_2Pe                    6.00           34.4772                   1
           397.9 8.553200E+06   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(1De)5s_2De[3/2]                4.00           34.4855                   1
           397.9 1.192600E+07   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(1De)5s_2De[5/2]                6.00           34.4855                   1
           396.8 1.378300E+07   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(3Pe)10d_2Pe                    6.00           34.5678                   1
           396.8 6.937600E+07   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(3Pe)10d_2Fe                   14.00           34.5702                   1
           396.7 4.319100E+04   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(3Pe)10g_2Fe                   14.00           34.5746                   1
          7330.7 6.103100E-02   8         2              3.33            4.0000          1 2s2_2p3_2Do[3/2]          2s2_2p3_2Po[3/2]                       4.00            5.0174                   0
          7329.7 1.001600E-01   8         2              3.33            4.0000          1 2s2_2p3_2Do[3/2]          2s2_2p3_2Po[1/2]                       2.00            5.0176                   0
          1075.2 5.794500E+02   8         2              3.33            4.0000          0 2s2_2p3_2Do[3/2]          2s_2p4_4Pe[5/2]                        6.00           14.8579                   1
